ticket_id,customer_email,ticket_status,priority,csat_score,opened_date,channel,agent_team,resolution_hours,first_response_hours,escalation_count
T00001-1,customer0001@demo-ml.example, resolved , critical ,4.4,2026-01-04,phone,platform,11.0,2.0,2
T00002-1,customer0002@demo-ml.example, closed , low ,2.7,2026-01-06,web,success,11.5,2.25,0
T00003-1,customer0003@demo-ml.example, open , medium ,3.4,2026-01-08,email,billing,12.0,2.5,1
T00003-2, CUSTOMER0003@DEMO-ML.EXAMPLE , pending , critical ,4.5,2026-01-09,chat,success,18.5,3.75,2
T00004-1,customer0004@demo-ml.example, pending , high ,4.1,2026-01-10,chat,security,12.5,2.75,2
T00006-1,customer0006@demo-ml.example, closed , low ,3.1,2026-01-14,web,success,13.5,3.25,1
T00006-2, CUSTOMER0006@DEMO-ML.EXAMPLE , open , high ,4.2,2026-01-15,email,platform,20.0,4.5,2
T00007-1,customer0007@demo-ml.example, open , medium ,3.8,2026-01-16,email,billing,14.0,3.5,2
T00007-3,customer0007@demo-ml.example, resolved , medium ,3.6,2026-01-18,phone,platform,27.0,6.0,1
T00008-1,customer0008@demo-ml.example, pending , high ,,2026-01-18,chat,security,14.5,3.75,0
T00009-1,customer0009@demo-ml.example, resolved , critical ,2.8,2026-01-20,phone,platform,15.0,4.0,1
T00009-2, CUSTOMER0009@DEMO-ML.EXAMPLE , closed , medium ,3.9,2026-01-21,web,security,21.5,5.25,2
T00011-1,customer0011@demo-ml.example, open , medium ,4.2,2026-01-24,email,billing,16.0,4.5,0
T00012-1,customer0012@demo-ml.example, pending , high ,4.9,2026-01-26,chat,security,16.5,4.75,1
T00012-2, CUSTOMER0012@DEMO-ML.EXAMPLE , resolved , low ,3.6,2026-01-27,phone,billing,23.0,6.0,2
T00013-1,customer0013@demo-ml.example, resolved , critical ,3.2,2026-01-28,phone,platform,17.0,5.0,2
T00013-1,customer0013@demo-ml.example, resolved , critical ,3.2,2026-01-28,phone,platform,17.0,5.0,2
T00014-1,customer0014@demo-ml.example, closed , low ,3.9,2026-01-30,web,success,17.5,5.25,0
T00014-3,customer0014@demo-ml.example, pending , low ,3.7,2026-02-01,chat,security,30.5,7.75,2
T00016-1,customer0016@demo-ml.example, pending , high ,,2026-02-03,chat,security,18.5,5.75,2
T00017-1,customer0017@demo-ml.example, resolved ,,3.6,2026-02-05,phone,platform,19.0,6.0,0
T00018-1,customer0018@demo-ml.example, closed , low ,4.3,2026-02-07,web,success,19.5,6.25,1
T00018-2, CUSTOMER0018@DEMO-ML.EXAMPLE , open , high ,3.0,2026-02-08,email,platform,26.0,7.5,2
T00019-1,customer0019@demo-ml.example,, medium ,2.6,2026-02-09,email,billing,20.0,6.5,2
T00021-1,customer0021@demo-ml.example, resolved , critical ,4.0,2026-02-13,phone,platform,21.0,7.0,1
T00021-2, CUSTOMER0021@DEMO-ML.EXAMPLE , closed , medium ,2.7,2026-02-14,web,security,27.5,8.25,2
T00021-3,customer0021@demo-ml.example, open , critical ,3.8,2026-02-15,email,billing,34.0,0.5,0
T00022-1,customer0022@demo-ml.example, closed , low ,4.7,2026-02-15,web,success,21.5,7.25,2
T00023-1,customer0023@demo-ml.example, open , medium ,3.0,2026-02-17,email,billing,22.0,7.5,0
T00024-1,customer0024@demo-ml.example, pending , high ,,2026-02-19,chat,security,22.5,7.75,1
